============================================================
A股回测报告
回测日期: 2026-03-02
============================================================


────────────────────────────────────────────────────────────
策略: 少妇战法
────────────────────────────────────────────────────────────

股票代码      股票名称    买入日       买入价       卖出日       卖出价       收益率       收益金额        
--------------------------------------------------------------------------------
603519    立霸股份    03-03     13.38     03-12     13.51     +0.97     +962.00     
301035    润丰股份    03-03     81.10     03-12     83.25     +2.65     +2580.00    
301081    严牌股份    03-03     13.17     03-12     12.77     -3.04     -3000.00    
002233    塔牌集团    03-03     9.66      03-12     9.60      -0.62     -618.00     
002948    青岛银行    03-03     5.35      03-12     5.35      +0.00     +0.00       
000423    东阿阿胶    03-03     54.04     03-12     52.41     -3.02     -2934.00    
002985    北摩高科    03-03     41.02     03-12     38.66     -5.75     -5664.00    
000517    荣安地产    03-03     2.14      03-12     2.07      -3.27     -3269.00    
688429    时创能源    03-03     15.81     03-12     16.02     +1.33     +1323.00    
300923    研奥股份    03-03     28.70     03-12     29.31     +2.13     +2074.00    
603135    中重科技    03-03     11.66     03-12     11.38     -2.40     -2380.00    
603833    欧派家居    03-03     57.08     03-12     53.34     -6.55     -6358.00    
001221    悍高集团    03-03     70.02     03-12     65.63     -6.27     -6146.00    
600031    三一重工    03-03     23.13     03-12     21.51     -7.00     -6966.00    
603558    健盛集团    03-03     11.87     03-12     11.81     -0.51     -504.00     
688370    丛麟科技    03-03     28.43     03-12     26.96     -5.17     -5145.00    
002367    康力电梯    03-03     8.09      03-12     8.16      +0.87     +861.00     
600356    恒丰纸业    03-04     9.60      03-13     9.37      -2.40     -2392.00    
301003    江苏博云    03-04     46.04     03-13     51.45     +11.75    +11361.00   
601222    林洋能源    03-04     6.08      03-13     6.71      +10.36    +10332.00   
603519    立霸股份    03-04     13.30     03-13     13.74     +3.31     +3300.00    
688021    奥福科技    03-04     23.66     03-13     27.88     +17.84    +17724.00   
603126    中材节能    03-04     7.51      03-13     7.96      +5.99     +5985.00    
300614    百川畅银    03-04     14.92     03-13     15.13     +1.41     +1407.00    
000672    上峰水泥    03-04     14.19     03-13     13.94     -1.76     -1750.00    
002395    双象股份    03-04     18.96     03-13     18.79     -0.90     -884.00     
000428    华天酒店    03-04     3.69      03-13     3.87      +4.88     +4878.00    
002233    塔牌集团    03-04     9.55      03-13     9.64      +0.94     +936.00     
301273    瑞晨环保    03-04     30.85     03-13     33.51     +8.62     +8512.00    
688069    德林海     03-04     25.07     03-13     25.87     +3.19     +3120.00    
002948    青岛银行    03-04     5.29      03-13     5.35      +1.13     +1134.00    
600051    宁波联合    03-04     7.85      03-13     8.21      +4.59     +4572.00    
001373    翔腾新材    03-04     41.41     03-13     40.50     -2.20     -2184.00    
605377    华旺科技    03-04     8.85      03-13     10.18     +15.03    +14896.00   
300422    博世科     03-04     5.01      03-13     5.22      +4.19     +4179.00    
301223    中荣股份    03-04     19.66     03-13     19.80     +0.71     +700.00     
301429    森泰股份    03-04     20.34     03-13     21.05     +3.49     +3479.00    
603303    得邦照明    03-04     15.17     03-13     14.74     -2.83     -2795.00    
300241    瑞丰光电    03-04     6.07      03-13     7.46      +22.90    +22796.00   
600847    万里股份    03-04     13.17     03-13     15.51     +17.77    +17550.00   
603060    国检集团    03-04     6.55      03-16     6.83      +4.27     +4256.00    
001210    金房能源    03-04     22.20     03-13     22.93     +3.29     +3285.00    
301390    经纬股份    03-04     38.00     03-13     41.02     +7.95     +7852.00    
301156    美农生物    03-04     19.29     03-13     20.70     +7.31     +7191.00    
603073    彩蝶实业    03-04     20.16     03-13     21.23     +5.31     +5243.00    
600235    民丰特纸    03-04     6.90      03-13     7.17      +3.91     +3888.00    
688737    中自科技    03-05     27.08     03-16     29.23     +7.94     +7740.00    
300721    怡达股份    03-05     16.01     03-16     15.77     -1.50     -1488.00    
600273    嘉化能源    03-05     10.85     03-16     10.15     -6.45     -6440.00    
300861    美畅股份    03-05     18.40     03-16     17.60     -4.35     -4320.00    
301065    本立科技    03-05     23.79     03-16     24.68     +3.74     +3738.00    
600851    海欣股份    03-05     7.82      03-16     8.99      +14.96    +14859.00   
688380    中微半导    03-05     48.80     03-16     49.90     +2.25     +2200.00    
300927    江天化学    03-05     32.19     03-16     33.51     +4.10     +4092.00    
603010    万盛股份    03-05     11.82     03-16     12.07     +2.12     +2100.00    
300224    正海磁材    03-05     17.47     03-16     16.17     -7.44     -7410.00    
002012    凯恩股份    03-05     7.15      03-16     7.15      +0.00     +0.00       
301003    江苏博云    03-05     46.86     03-16     50.70     +8.19     +8064.00    
601222    林洋能源    03-05     6.20      03-16     6.54      +5.48     +5474.00    
300958    建工修复    03-05     13.93     03-16     14.40     +3.37     +3337.00    
000951    中国重汽    03-05     19.40     03-16     22.14     +14.12    +13974.00   
603519    立霸股份    03-05     13.35     03-16     13.92     +4.27     +4218.00    
603320    迪贝电气    03-05     24.75     03-16     21.50     -13.13    -13000.00   
603638    艾迪精密    03-05     22.40     03-16     21.73     -2.99     -2948.00    
300263    隆华科技    03-05     11.45     03-16     10.92     -4.63     -4611.00    
002806    华锋股份    03-05     16.11     03-16     15.53     -3.60     -3596.00    
301081    严牌股份    03-05     12.80     03-16     13.21     +3.20     +3198.00    
002106    莱宝高科    03-05     12.02     03-16     12.85     +6.91     +6889.00    
300614    百川畅银    03-05     15.30     03-16     14.82     -3.14     -3120.00    
300851    交大思诺    03-05     30.76     03-16     31.31     +1.79     +1760.00    
002165    红宝丽     03-05     11.58     03-16     12.09     +4.40     +4386.00    
600768    宁波富邦    03-05     17.37     03-16     17.67     +1.73     +1710.00    
000935    四川双马    03-05     27.34     03-16     26.95     -1.43     -1404.00    
603220    中贝通信    03-05     26.00     03-16     25.90     -0.38     -380.00     
002286    保龄宝     03-05     10.34     03-16     10.78     +4.26     +4224.00    
002372    伟星新材    03-05     11.96     03-16     11.64     -2.68     -2656.00    
688038    中科通达    03-05     22.14     03-16     21.35     -3.57     -3555.00    
000428    华天酒店    03-05     3.75      03-16     3.85      +2.67     +2660.00    
001358    兴欣新材    03-05     29.31     03-16     29.52     +0.72     +714.00     
605111    新洁能     03-05     43.10     03-16     42.91     -0.44     -437.00     
301273    瑞晨环保    03-05     31.13     03-16     33.36     +7.16     +7136.00    
300845    捷安高科    03-05     12.49     03-16     12.31     -1.44     -1440.00    
000782    恒申新材    03-05     6.08      03-16     6.01      -1.15     -1148.00    
688329    艾隆科技    03-05     24.99     03-16     25.77     +3.12     +3120.00    
300717    华信新材    03-05     21.59     03-16     22.25     +3.06     +3036.00    
300113    顺网科技    03-05     25.18     03-16     27.00     +7.23     +7098.00    
300243    瑞丰高材    03-05     11.81     03-16     17.46     +47.84    +47460.00   
002034    旺能环境    03-05     17.27     03-16     18.42     +6.66     +6555.00    
300508    维宏股份    03-05     43.00     03-16     41.29     -3.98     -3933.00    
688069    德林海     03-05     25.59     03-16     25.94     +1.37     +1365.00    
301049    超越科技    03-05     24.80     03-16     24.35     -1.81     -1800.00    
002360    同德化工    03-05     5.56      03-16     6.63      +19.24    +19153.00   
002250    联化科技    03-05     17.07     03-16     15.88     -6.97     -6902.00    
688683    莱尔科技    03-05     36.45     03-16     34.30     -5.90     -5805.00    
600360    *ST华    03-05     9.00      03-16     9.35      +3.89     +3885.00    
603637    镇海股份    03-05     12.88     03-16     12.20     -5.28     -5236.00    
301548    崇德科技    03-05     82.07     03-16     77.27     -5.85     -5760.00    
002948    青岛银行    03-05     5.30      03-16     5.25      -0.94     -940.00     
603281    江瀚新材    03-05     32.09     03-16     31.90     -0.59     -589.00     
688092    爱科科技    03-05     30.20     03-16     30.53     +1.09     +1089.00    
002185    华天科技    03-05     14.45     03-16     14.05     -2.77     -2760.00    
