strategy,code,signal_date,buy_date,sell_date,buy_price,sell_price,shares,buy_amount,sell_amount,total_cost,total_fee,profit,return_pct,sell_postpone_days
填坑战法,002207,2026-03-16,2026-03-17,2026-03-26,10.95219,9.69806,9100,99664.929,88252.346,99695.82512799,67.07958984999587,-11479.662589849991,-11.514687375436578,0
填坑战法,002828,2026-03-16,2026-03-17,2026-03-26,13.85277,12.517496,7200,99739.944,90125.9712,99770.86338264,67.87103083200054,-9681.843830832004,-9.704079430184255,0
填坑战法,300870,2026-03-16,2026-03-17,2026-03-26,267.023394,244.90100999999999,300,80107.0182,73470.303,80131.851375642,54.95599987199387,-6691.671199871998,-8.350825651715931,0
填坑战法,600644,2026-03-16,2026-03-17,2026-03-26,12.60252,13.39732,7900,99559.908,105838.82800000001,99590.77157148,74.25749096000389,6204.662509040005,6.23015808707405,0
填坑战法,603790,2026-03-16,2026-03-17,2026-03-26,23.964792,20.59588,4100,98255.64719999999,84443.10800000001,98286.106450632,65.08092491200412,-13877.620124911991,-14.119615300747073,0
填坑战法,000571,2026-03-17,2026-03-18,2026-03-27,7.05141,5.958808,14000,98719.73999999999,83423.312,98750.34311939999,64.8066773199952,-15361.234677319982,-15.555626635895903,0
填坑战法,000600,2026-03-17,2026-03-18,2026-03-27,9.561912,10.137972000000001,10300,98487.6936,104421.11160000002,98518.224785016,73.34384077200693,5860.07415922801,5.94821330978681,0
填坑战法,000720,2026-03-17,2026-03-18,2026-03-27,3.9907980000000003,5.508898,24800,98971.79040000001,136620.6704,99002.47165502401,86.69572988799925,37562.18427011199,37.940653038439415,0
填坑战法,688186,2026-03-17,2026-03-18,2026-03-27,25.935185999999998,22.985402,3800,98553.7068,87344.5276,98584.258449108,66.36290542400522,-11275.542105424,-11.437467079234313,0
填坑战法,002099,2026-03-18,2026-03-19,2026-03-30,7.131425999999999,7.178564,13700,97700.53619999999,98346.3268,97730.82336622199,70.60916020999863,575.1814397900162,0.5885363695695743,0
填坑战法,002300,2026-03-18,2026-03-19,2026-03-30,9.971994,9.578084,2900,28918.782600000002,27776.443600000002,28927.747422606004,20.353164482001688,-1162.6921644820031,-4.019297277095971,0
填坑战法,300511,2026-03-18,2026-03-19,2026-03-30,6.971393999999999,7.188562,100,697.1393999999999,718.8562000000001,702.1463713939999,10.086045575999947,11.630754424000202,1.6564572427981348,0
