strategy,code,signal_date,stage,reason,date_ref
暴力K战法,002077,2026-03-18,buy,资金不足,2026-03-19
暴力K战法,002565,2026-03-18,buy,资金不足,2026-03-19
暴力K战法,300231,2026-03-18,buy,资金不足,2026-03-19
暴力K战法,300571,2026-03-18,buy,资金不足,2026-03-19
暴力K战法,300730,2026-03-18,buy,资金不足,2026-03-19
暴力K战法,301382,2026-03-18,buy,资金不足,2026-03-19
暴力K战法,301428,2026-03-18,buy,资金不足,2026-03-19
暴力K战法,600563,2026-03-18,buy,资金不足,2026-03-19
暴力K战法,600847,2026-03-18,buy,资金不足,2026-03-19
暴力K战法,603098,2026-03-18,buy,资金不足,2026-03-19
暴力K战法,603168,2026-03-18,buy,资金不足,2026-03-19
暴力K战法,603189,2026-03-18,buy,资金不足,2026-03-19
暴力K战法,605058,2026-03-18,buy,资金不足,2026-03-19
暴力K战法,002902,2026-03-19,buy,资金不足,2026-03-20
