strategy,code,signal_date,buy_date,sell_date,buy_price,sell_price,shares,buy_amount,sell_amount,total_cost,total_fee,profit,return_pct,sell_postpone_days
暴力K战法,000553,2026-03-12,2026-03-13,2026-03-24,6.8813759999999995,5.658868,14500,99779.95199999999,82053.586,99810.88378512,64.57375538000304,-17790.939755379994,-17.82464905699222,0
暴力K战法,000990,2026-03-12,2026-03-13,2026-03-24,10.001999999999999,9.538091999999999,10000,100019.99999999999,95380.91999999998,100051.00619999999,70.11237720000344,-4709.192377200001,-4.706791621651878,0
暴力K战法,002102,2026-03-12,2026-03-13,2026-03-24,3.780756,3.1193760000000004,26400,99811.95839999999,82351.52640000002,99842.90010710398,64.7058329279934,-17525.13783292797,-17.552713126449966,0
暴力K战法,002221,2026-03-12,2026-03-13,2026-03-24,9.941987999999998,9.138172,10000,99419.87999999999,91381.72000000002,99450.70016279999,68.28666799999516,-8106.446667999975,-8.151221313404317,0
暴力K战法,002869,2026-03-12,2026-03-13,2026-03-24,23.994798,23.205358,4100,98378.6718,95141.9678,98409.16918825799,69.50559505599432,-3306.2095950559888,-3.3596560384847556,0
暴力K战法,002959,2026-03-12,2026-03-13,2026-03-24,44.408879999999996,45.300938,2200,97699.536,99662.06360000001,97729.82285616,71.14830223600438,1891.3792977640114,1.9353143620732514,0
暴力K战法,300138,2026-03-12,2026-03-13,2026-03-24,15.603119999999999,12.907418,6400,99859.968,82607.4752,99890.92459007999,64.82565491199347,-17317.31845491199,-17.336228016685858,0
暴力K战法,300443,2026-03-12,2026-03-13,2026-03-24,32.20644,30.69386,3100,99839.964,95150.966,99870.91438884001,69.96228490000678,-4758.9602849000075,-4.76511135801896,0
暴力K战法,301525,2026-03-12,2026-03-13,2026-03-24,89.61792,73.58528,1100,98579.712,80943.80799999999,98610.27171072,63.74667200000101,-17699.650672000003,-17.949094313342066,0
暴力K战法,600063,2026-03-12,2026-03-13,2026-03-24,7.831566,6.6586680000000005,12700,99460.8882,84565.08360000001,99491.72107534201,65.50455961800645,-14961.309159618002,-15.037742837203776,0
暴力K战法,600236,2026-03-12,2026-03-13,2026-03-24,10.5021,9.518096,9500,99769.95,90421.912,99800.8786845,68.00166842000242,-9416.03966842001,-9.434826418900466,0
暴力K战法,600888,2026-03-12,2026-03-13,2026-03-24,10.001999999999999,7.9984,10000,100019.99999999999,79984.0,100051.00619999999,63.79964000000344,-20099.799639999983,-20.089552722559212,0
暴力K战法,600935,2026-03-12,2026-03-13,2026-03-24,3.3106619999999998,2.7394520000000004,30200,99981.99239999999,82731.45040000002,100012.98681764399,64.91431230800399,-17315.45631230797,-17.313207877572587,0
暴力K战法,601139,2026-03-12,2026-03-13,2026-03-24,7.711542,7.478504000000001,12900,99478.8918,96472.70160000001,99509.730256458,70.39226411400466,-3076.5824641139916,-3.0917403315082614,0
暴力K战法,601858,2026-03-12,2026-03-13,2026-03-24,23.044608,24.265146,4300,99091.8144,104340.1278,99122.53286246401,73.49791486200674,5174.815485137995,5.220624751708305,0
暴力K战法,603020,2026-03-12,2026-03-13,2026-03-24,11.30226,9.89802,8800,99459.888,87102.576,99490.72056528,66.54462143999766,-12423.856621440005,-12.487452649705352,0
暴力K战法,603281,2026-03-12,2026-03-13,2026-03-24,32.90658,31.013796,3000,98719.73999999999,93041.38799999999,98750.34311939999,68.75008847999518,-5747.102088479995,-5.819829994444797,0
暴力K战法,603406,2026-03-12,2026-03-13,2026-03-24,39.227844,36.052788,2500,98069.61,90131.97,98100.0115791,67.35568679999834,-8004.995686800001,-8.160035414822977,0
暴力K战法,603527,2026-03-12,2026-03-13,2026-03-24,12.392478,10.407918,8000,99139.82400000001,83263.344,99170.55734544001,64.87131648000681,-15941.351316480024,-16.074681582106713,0
暴力K战法,605305,2026-03-12,2026-03-13,2026-03-24,43.20864,39.452108,2300,99379.872,90739.8484,99410.67976032001,68.01109816400722,-8708.034698164003,-8.75965713056097,0
暴力K战法,688166,2026-03-12,2026-03-13,2026-03-24,45.91918199999999,47.34053,2100,96430.28219999999,99415.113,96460.175587482,70.65358381200679,2914.177216188007,3.0211195433135734,0
暴力K战法,688399,2026-03-12,2026-03-13,2026-03-24,65.30305800000001,56.308736,1500,97954.58700000001,84463.104,97984.95292197002,64.99579461000573,-13556.478794610011,-13.835265916191913,0
暴力K战法,688700,2026-03-12,2026-03-13,2026-03-24,47.0094,54.199158000000004,2100,98719.74,113818.23180000001,98750.3431194,77.26859443799519,15021.223205562012,15.21131241782087,0
暴力K战法,000777,2026-03-13,2026-03-16,2026-03-25,26.85537,23.075384,3700,99364.869,85378.92079999999,99395.67210939001,65.80846691800627,-14051.756666918023,-14.137191659062728,0
暴力K战法,002084,2026-03-13,2026-03-16,2026-03-25,4.160832,3.889222,24000,99859.96800000001,93341.32800000001,99890.92459008,69.22653455999347,-6587.8665345599875,-6.5950601234240835,0
暴力K战法,002543,2026-03-13,2026-03-16,2026-03-25,9.701939999999999,9.428114,10300,99929.98199999999,97109.5742,99960.96029441999,70.79321984199784,-2891.2010198419885,-2.892330177027502,0
暴力K战法,002669,2026-03-13,2026-03-16,2026-03-25,15.003,12.44751,6600,99019.8,82153.56599999999,99050.496138,64.37910005999933,-16930.613100060014,-17.09291094965521,0
暴力K战法,002852,2026-03-13,2026-03-16,2026-03-25,11.872373999999999,9.618076,8400,99727.94159999999,80791.83840000001,99758.85726189599,64.04031563999689,-19000.143515639982,-19.046071734521863,0
