strategy,code,signal_date,buy_date,sell_date,buy_price,sell_price,shares,buy_amount,sell_amount,total_cost,total_fee,profit,return_pct,sell_postpone_days
B1战法,000912,2026-03-26,2026-03-27,2026-04-08,5.091018,5.168966,19600,99783.9528,101311.7336,99814.885825368,72.47083614399456,1455.3099638560088,1.4580089450807558,0
B1战法,002092,2026-03-26,2026-03-27,2026-04-08,6.941388,6.618676000000001,14400,99955.9872,95308.93440000001,99986.973556032,70.06301913599364,-4717.115819135986,-4.7177303716394094,0
B1战法,002986,2026-03-26,2026-03-27,2026-04-08,14.60292,15.556888,6800,99299.856,105786.83840000001,99330.63895536,74.15555910400224,6412.826840895999,6.4560410648097974,0
B1战法,600299,2026-03-26,2026-03-27,2026-04-08,13.532706,13.987202,7300,98788.75379999999,102106.57459999999,98819.378313678,72.4882092640053,3245.3325907359977,3.284105451902846,0
B1战法,601001,2026-03-26,2026-03-27,2026-04-08,16.5033,16.126774,6000,99019.8,96760.644,99050.496138,70.36800203999934,-2329.524002040009,-2.35185495567276,0
B1战法,601088,2026-03-26,2026-03-27,2026-04-08,47.569512,46.750648,2100,99895.9752,98176.3608,99926.942952312,71.22006024000444,-1790.8344602400175,-1.7921437475523043,0
B1战法,002384,2026-03-27,2026-03-30,2026-04-09,100.830162,131.87362000000002,900,90747.1458,118686.25800000002,90775.277415198,76.79298097799906,27862.319219022014,30.69373072976936,0
B1战法,002531,2026-03-27,2026-03-30,2026-04-09,10.85217,11.307738,9200,99839.96399999999,104031.1896,99870.91438884,73.60317657600677,4117.622423423993,4.122944551596208,0
B1战法,300080,2026-03-27,2026-03-30,2026-04-09,5.60112,4.569086,17800,99699.936,81329.7308,99730.84298016,64.25216978799806,-18434.457369787997,-18.48420891564635,0
B1战法,300279,2026-03-27,2026-03-30,2026-04-09,9.521904,8.468306,10500,99979.992,88917.213,100010.98579752,67.44985485000095,-11130.228854849993,-11.129006244757955,0
B1战法,300462,2026-03-27,2026-03-30,2026-04-09,12.702539999999999,13.167366,7800,99079.81199999999,102705.45479999999,99110.52674172,72.82397818800307,3552.818821812005,3.5847038035329772,0
B1战法,300677,2026-03-27,2026-03-30,2026-04-09,56.521302,59.43811,1700,96086.2134,101044.787,96116.00012615399,71.2150888239941,4887.358511176004,5.084854243581981,0
B1战法,301068,2026-03-27,2026-03-30,2026-04-09,31.5063,31.04379,3100,97669.53,96235.74900000001,97699.8075543,69.73421139000251,-1503.5152113899967,-1.5389131760104715,0
B1战法,600603,2026-03-27,2026-03-30,2026-04-09,7.2914579999999996,6.858628,13700,99892.97459999999,93963.20360000001,99923.941422126,69.49173560200717,-5999.26273560198,-6.0038291626811,0
B1战法,600750,2026-03-27,2026-03-30,2026-04-09,25.70514,26.524694,3800,97679.532,100793.8372,97709.81265492001,71.60612817200314,3042.699071827985,3.114015869187909,0
B1战法,600956,2026-03-27,2026-03-30,2026-04-09,9.5019,8.058388,10500,99769.95,84613.07400000001,99800.8786845,65.62004484000242,-15222.496044839994,-15.252867755766752,0
B1战法,601975,2026-03-27,2026-03-30,2026-04-09,4.45089,4.979004000000001,22400,99699.936,111529.68960000001,99730.84298016,76.63415289599806,11753.119447104007,11.784839169004236,0
B1战法,001872,2026-03-30,2026-03-31,2026-04-10,22.324464,21.625674,4400,98227.6416,95152.9656,98258.09216889601,69.46328479200528,-3144.139284792007,-3.1998782139872417,0
B1战法,300939,2026-03-30,2026-03-31,2026-04-10,39.807959999999994,38.552288000000004,2500,99519.89999999998,96380.72000000002,99550.75116899998,70.3672642000014,-3209.547264199966,-3.2240311866169185,0
B1战法,600575,2026-03-30,2026-03-31,2026-04-10,3.9907980000000003,3.7392520000000005,25000,99769.95000000001,93481.30000000002,99800.87868450001,69.25601750000243,-6357.90601749999,-6.3705912225474535,0
B1战法,600777,2026-03-30,2026-03-31,2026-04-10,5.40108,5.508898,18500,99919.98000000001,101914.61300000001,99950.95519380001,72.76018512999721,1921.872814870003,1.9228158561802493,0
