strategy,code,signal_date,buy_date,sell_date,buy_price,sell_price,shares,buy_amount,sell_amount,total_cost,total_fee,profit,return_pct,sell_postpone_days
上穿60放量战法,301220,2026-03-26,2026-03-27,2026-04-08,41.768352,40.001998,2300,96067.2096,92004.5954,96096.990434976,67.50271909000165,-4130.116919089996,-4.297862919947153,0
上穿60放量战法,601952,2026-03-26,2026-03-27,2026-04-08,10.012001999999999,10.057988,9900,99118.81979999998,99574.0812,99149.54663413798,71.55220742999677,383.7091925700224,0.38700045093086516,0
上穿60放量战法,000010,2026-03-27,2026-03-30,2026-04-09,4.2108419999999995,3.709258,23700,99796.95539999999,87909.4146,99827.892456174,66.97991616000701,-11954.520716159997,-11.975130819683706,0
上穿60放量战法,001382,2026-03-27,2026-03-30,2026-04-09,22.114421999999998,20.015996,4500,99514.89899999999,90071.982,99545.74861868999,67.77913131000108,-9510.69613130999,-9.554095743195132,0
上穿60放量战法,300302,2026-03-27,2026-03-30,2026-04-09,20.674134000000002,21.875624,4800,99235.84320000002,105002.99519999999,99266.60631139202,73.81433942400697,5693.3376605759695,5.735400727528036,0
上穿60放量战法,300323,2026-03-27,2026-03-30,2026-04-09,9.761951999999999,9.988002,10200,99571.9104,101877.6204,99602.77769222399,72.63711658799299,2233.072883412009,2.241978522237885,0
上穿60放量战法,300677,2026-03-27,2026-03-30,2026-04-09,56.521302,59.43811,1700,96086.2134,101044.787,96116.00012615399,71.2150888239941,4887.358511176004,5.084854243581981,0
上穿60放量战法,301068,2026-03-27,2026-03-30,2026-04-09,31.5063,31.04379,3100,97669.53,96235.74900000001,97699.8075543,69.73421139000251,-1503.5152113899967,-1.5389131760104715,0
上穿60放量战法,600956,2026-03-27,2026-03-30,2026-04-09,9.5019,8.058388,10500,99769.95,84613.07400000001,99800.8786845,65.62004484000242,-15222.496044839994,-15.252867755766752,0
上穿60放量战法,001872,2026-03-30,2026-03-31,2026-04-10,22.324464,21.625674,4400,98227.6416,95152.9656,98258.09216889601,69.46328479200528,-3144.139284792007,-3.1998782139872417,0
上穿60放量战法,002463,2026-03-30,2026-03-31,2026-04-10,78.81576,88.302336,1200,94578.912,105962.8032,94608.23146272,72.76421203199914,11311.126987968004,11.95575354605916,0
上穿60放量战法,300939,2026-03-30,2026-03-31,2026-04-10,39.807959999999994,38.552288000000004,2500,99519.89999999998,96380.72000000002,99550.75116899998,70.3672642000014,-3209.547264199966,-3.2240311866169185,0
