date,open,close,high,low,volume
2019-01-02,7.49,7.29,7.49,7.21,17224.0
2019-01-03,7.31,7.24,7.35,7.13,14152.64
2019-01-04,7.16,7.41,7.47,7.08,25413.69
2019-01-07,7.55,7.34,7.55,7.32,23903.0
2019-01-08,7.35,7.26,7.42,7.24,17506.0
2019-01-09,7.27,7.27,7.35,7.22,17241.77
2019-01-10,7.34,7.45,7.91,7.3,38253.06
2019-01-11,7.45,7.54,7.67,7.41,29324.0
2019-01-14,7.56,7.49,7.67,7.41,19461.0
2019-01-15,7.5,7.47,7.5,7.32,18930.0
2019-01-16,7.49,7.48,7.53,7.38,17699.4
2019-01-17,7.5,7.5,7.63,7.4,48284.99
2019-01-18,7.56,7.3,7.67,7.16,59761.0
2019-01-21,7.22,7.31,7.31,7.08,42669.0
2019-01-22,7.48,7.13,7.48,7.0,104806.0
2019-01-23,7.07,6.41,7.07,6.41,107971.0
2019-01-24,6.4,5.95,6.4,5.84,76859.51
2019-01-25,6.02,5.89,6.02,5.86,32017.55
2019-01-28,5.91,5.75,5.94,5.66,21927.0
2019-01-29,5.77,5.64,5.77,5.47,26296.52
2019-01-30,5.65,5.69,5.77,5.58,20766.93
2019-01-31,5.69,5.52,5.72,5.47,20797.0
2019-02-01,5.53,5.58,5.62,5.53,17568.0
2019-02-11,5.59,5.73,5.74,5.58,17459.29
2019-02-12,5.71,5.78,5.79,5.7,25027.0
2019-02-13,5.78,5.92,5.97,5.74,36757.0
2019-02-14,5.92,5.87,6.1,5.85,45799.0
2019-02-15,5.92,5.86,5.92,5.79,33902.47
2019-02-18,5.86,6.02,6.03,5.86,39755.92
2019-02-19,6.04,6.02,6.08,5.95,30403.0
2019-02-20,6.01,5.96,6.01,5.94,26345.55
2019-02-21,5.96,5.92,6.02,5.91,34222.0
2019-02-22,5.92,5.97,5.97,5.86,30707.52
2019-02-25,6.03,6.22,6.22,5.99,56537.39
2019-02-26,6.32,6.24,6.32,6.16,64658.55
2019-02-27,6.23,6.18,6.28,6.14,43963.8
2019-02-28,6.18,6.25,6.27,6.18,31593.0
2019-03-01,6.25,6.27,6.32,6.23,32543.2
2019-03-04,6.28,6.37,6.51,6.27,64065.97
2019-03-05,6.4,6.4,6.41,6.29,37409.55
2019-03-06,6.39,6.52,6.53,6.39,52619.0
2019-03-07,6.52,6.66,6.68,6.46,59091.56
2019-03-08,6.66,6.15,6.66,6.15,65022.88
